Data_Requirement,FSDM_Subject_Area,FSDM_Entity,FSDM_Entity_Description,Entity_In_XSD,FSDM_Domain,Mapping_Confidence,Notes
Customer Research - Primary & Secondary,Cross Subject - Survey,SURVEY_QUESTION_RESPONSE,"This entity associates a questionnaire question to a response to that question.  By capturing the date and time of the response (if known), the sequence of the survey responses may be reconstructed, a",Yes,Campaign/Marketing,Medium,Customer research via survey entities
Customer Research - Primary & Secondary,Cross Subject - Survey,PARTY_SURVEY_RESPONSE,This subtype entity identifies the party that is the subject of this survey question.,Yes,Party Management,Medium,Customer research via survey entities
Rich Media from all sources,Cross Subject - Multi-media object,DIGITAL_CONTENT,,No,Not Found,Low,Rich media content - generic document entities
Rich Media from all sources,Cross Subject - Multi-media object,MEDIA_ASSET,,No,Not Found,Low,Rich media content - generic document entities
Rich Media from all sources,Cross Subject - Multi-media object,DOCUMENT,This entity contains physical or electronic documentation of interest to the financial institution or produced by the financial institution that is of interest. It represents information being exchang,Yes,Other,Low,Rich media content - generic document entities
Voice Recording,Cross Subject - Multi-media object,DIGITAL_CONTENT,,No,Not Found,Low,Voice/call recordings - needs extension
Voice Recording,Cross Subject - Multi-media object,CALL_RECORDING,,No,Not Found,Low,Voice/call recordings - needs extension
Voice Recording,Cross Subject - Multi-media object,DIRECT_CONTACT_EVENT,This entity is a subtype to CONTACT EVENT and contains those contacts that directly involve contact with the customer either in person or in writing. The customer is able to express him/herself during,Yes,Party Management,Low,Voice/call recordings - needs extension
External Data - Fraud Watch Lists,Cross Subject - Watch List,WATCH_LIST,This entity contains information about the list to be used for anti-money laundering detection purposes. The lists can be used for monitoring transaction or trading activities for money laundering or ,Yes,Other,High,Fraud/sanctions watch lists
External Data - Fraud Watch Lists,Cross Subject - Watch List,WATCH_LIST_ENTRY,,No,Not Found,High,Fraud/sanctions watch lists
External Data - Fraud Watch Lists,Cross Subject - Watch List,PARTY_WATCH_LIST_CHECK,,No,Not Found,High,Fraud/sanctions watch lists
Compliance Approvals,Cross Subject,COMPLIANCE_EVENT,,No,Not Found,Medium,Regulatory compliance approvals
Compliance Approvals,Cross Subject,APPROVAL,,No,Not Found,Medium,Regulatory compliance approvals
Compliance Approvals,Cross Subject,PARTY_COMPLIANCE_VERIFICATION,,No,Not Found,Medium,Regulatory compliance approvals
Business Process Definition,Not Covered,EVENT,"A history of internal or external situations that are of business significance to the enterprise. Examples of events may be a contact with a party, the issuance of a statement, or even a geographic oc",Yes,Event Management,Low,Business process definitions - not in FSDM scope
Business Process Definition,Not Covered,PROCESS_EVENT,,No,Not Found,Low,Business process definitions - not in FSDM scope
External Data - External Loss Data,Not Covered,LOSS_EVENT,,No,Not Found,Medium,External loss data for operational risk
External Data - External Loss Data,Not Covered,OPERATIONAL_LOSS_EVENT,,No,Not Found,Medium,External loss data for operational risk
"System Log Files (E.g. Firewall, Webserver)",Not Covered,WEB_VISIT,This entity represents a visit during which an internet web site is accessed by an individual using the world wide web.  Example: - An unknown visitor browsed our web site today from 12:32 through 13:,Yes,Web Analytics,Low,System/security logs - outside FSDM scope
"System Log Files (E.g. Firewall, Webserver)",Not Covered,SYSTEM_EVENT,,No,Not Found,Low,System/security logs - outside FSDM scope
